year,broodline,district,subdist,strmnmb,Sum_P_AUC,Sum_C_AUC,pink_strm_life,chum_strm_life
1963,Odd,221,10,2,18840,4680,15.6,12.6
1963,Odd,221,10,11,62452.5,28000,11.7,12.6
1963,Odd,221,20,20,0,630,11.8,12.6
1963,Odd,221,20,23,0,5000,16,12.6
1963,Odd,221,20,35,510000,130000,16,12.6
1963,Odd,221,20,36,250100,14350,16,12.6
1963,Odd,221,30,46,20775,6715,16,12.6
1963,Odd,221,30,48,8000,207710,16,12.6
1963,Odd,221,30,51,25050,129300,16,12.6
1963,Odd,221,30,52,45050,31650,16,12.6
1963,Odd,221,30,56,800,13150,16,12.6
1963,Odd,221,40,76,100550,27000,16,12.6
1963,Odd,221,40,80,192100,94825,16,12.6
1963,Odd,221,40,85,0,315,16,12.6
1963,Odd,221,40,87,0,52025,16,12.6
1963,Odd,221,40,89,19900,36550,16,12.6
1963,Odd,221,40,92,0,0,6.8,12.6
1963,Odd,221,40,99,8000,11925,10.2,12.6
1963,Odd,221,50,115,2925,0,11.7,12.6
1963,Odd,221,50,116,152100,108940,11.7,12.6
1963,Odd,221,50,117,254000,126750,16,12.6
1963,Odd,221,50,123,59250,21325,16,12.6
1963,Odd,221,50,129,38500,10600,16,12.6
1963,Odd,221,50,152,7750,14690,11.7,12.6
1963,Odd,221,50,153,142850,49000,16,12.6
1963,Odd,222,10,214,2400,75510,16,12.6
1963,Odd,222,10,217,0,5816,9.7,12.6
1963,Odd,222,20,229,0,23250,16,12.6
1963,Odd,222,20,233,1755,0,11.7,12.6
1963,Odd,222,20,234,281625,515075,16,12.6
1963,Odd,222,20,257,0,630,16,12.6
1963,Odd,222,20,258,81450,6590,16,12.6
1963,Odd,222,20,263,1170,0,11.7,12.6
1963,Odd,222,20,264,5600,14130,16,12.6
1963,Odd,222,30,273,0,4600,10.2,12.6
1963,Odd,222,30,276,590,9210,11.8,12.6
1963,Odd,222,30,277,0,0,11.8,12.6
1963,Odd,222,30,279,14930,4475,6.8,12.6
1963,Odd,222,30,282,0,5695,16,12.6
1963,Odd,222,30,289,1755,0,11.7,12.6
1963,Odd,223,20,303,485,0,9.7,12.6
1963,Odd,223,30,322,159000,374300,16,12.6
1963,Odd,223,10,421,65700,27625,16,12.6
1963,Odd,223,10,424,0,2585,16,12.6
1963,Odd,223,10,425,0,18750,16,12.6
1963,Odd,223,10,430,157300,10700,16,12.6
1963,Odd,223,10,432,268850,47190,16,12.6
1963,Odd,224,10,450,4060,20900,11.8,12.6
1963,Odd,224,10,451,2290,7480,11.8,12.6
1963,Odd,224,10,454,39400,22660,16,12.6
1963,Odd,224,10,455,2620,16210,11.8,12.6
1963,Odd,224,10,458,0,8530,16,12.6
1963,Odd,224,10,461,0,630,10.2,12.6
1963,Odd,224,30,476,1300850,0,16,12.6
1963,Odd,224,30,479,1755,7000,11.7,12.6
1963,Odd,224,40,480,27275,27760,11.7,12.6
1963,Odd,224,40,484,10200,46550,6.8,12.6
1963,Odd,224,40,485,1180,9530,11.8,12.6
1963,Odd,224,40,495,0,22280,11.8,12.6
1963,Odd,225,30,510,1700,0,6.8,12.6
1963,Odd,226,20,603,0,0,10.2,12.6
1963,Odd,226,20,604,1095,2550,11.8,12.6
1963,Odd,226,20,608,18900,0,15.6,12.6
1963,Odd,226,20,613,0,49050,15.6,12.6
1963,Odd,226,20,630,15150,0,16,12.6
1963,Odd,226,20,632,0,0,9.7,12.6
1963,Odd,226,20,633,1170,1260,11.7,12.6
1963,Odd,226,20,636,0,765,11.7,12.6
1963,Odd,227,10,739,28000,48800,16,12.6
1963,Odd,227,10,740,14300,0,16,12.6
1963,Odd,227,10,741,29550,49490,15.6,12.6
1963,Odd,227,20,744,2530,0,15.6,12.6
1963,Odd,227,20,747,70525,1890,15.6,12.6
1963,Odd,227,20,749,16445,0,15.6,12.6
1963,Odd,227,20,752,18020,0,11.8,12.6
1963,Odd,227,20,758,13590,0,10.2,12.6
1963,Odd,227,20,759,37600,0,11.7,12.6
1963,Odd,227,20,775,62780,6965,11.8,12.6
1963,Odd,228,60,806,56430,7890,15.6,12.6
1963,Odd,228,60,810,20750,2260,15.6,12.6
1963,Odd,228,60,812,250550,6319,15.6,12.6
1963,Odd,228,60,815,460950,79810,15.6,12.6
1963,Odd,228,50,817,92340,2060,15.6,12.6
1963,Odd,228,50,818,42900,0,15.6,12.6
1963,Odd,228,50,821,50740,39160,15.6,12.6
1963,Odd,228,40,827,36755,850,15.6,12.6
1963,Odd,228,40,828,148540,2400,15.6,12.6
1963,Odd,228,40,831,240750,0,15.6,12.6
1963,Odd,228,20,835,199200,36050,15.6,12.6
1963,Odd,228,20,837,37000,1260,15.6,12.6
1963,Odd,228,30,844,178360,0,15.6,12.6
1963,Odd,228,30,847,238900,0,15.6,12.6
1963,Odd,228,30,850,49450,0,15.6,12.6
1963,Odd,228,30,857,48185,0,10.2,12.6
1963,Odd,228,30,861,66590,0,15.6,12.6
1963,Odd,229,10,242,0,0,16,12.6
